part_id,source_file,true_status,is_in_tol_by_limits,feature_type,nominal,tolerance,lower_limit,upper_limit,measured,deviation,relative_error,edge_weight,text
00006656_72e4f51d03574930bf4dadbf_step_000,file_in_tol,OUT_OF_TOLERANCE,False,plane,14.0,0.18,13.64,14.0,8.879988891190342,5.120011108809658,28.444348135897346,0.642,14.000/-0.36 14.000/-0.36
00006656_72e4f51d03574930bf4dadbf_step_000,file_in_tol,OUT_OF_TOLERANCE,False,plane,14.0,0.18,13.64,14.0,12.01896609045596,1.9810339095440401,11.005682799229117,0.686,14.000/-0.36 14.000/-0.36
00006656_72e4f51d03574930bf4dadbf_step_000,file_out_tol,OUT_OF_TOLERANCE,False,plane,14.0,0.18,13.64,14.0,8.893484164050468,5.106515835949532,28.36937481430399,0.611,14.000/-0.36 14.000/-0.36
00006656_72e4f51d03574930bf4dadbf_step_000,file_out_tol,OUT_OF_TOLERANCE,False,plane,14.0,0.18,13.64,14.0,12.015905500020505,1.984094499979495,11.022685984963944,0.686,14.000/-0.36 14.000/-0.36
00006096_b6e075a7dd534de3be9c0300_step_012,file_in_tol,IN_TOLERANCE,True,plane,23.1,0.3,22.5,23.1,23.1,0.0,0.0,0.998,23.100/-0.60 23.100/-0.60
00006096_b6e075a7dd534de3be9c0300_step_012,file_in_tol,OUT_OF_TOLERANCE,False,plane,97.1,1.195,94.71,97.1,28.006740207519645,69.09325979248035,57.81857905765799,0.683,97.100/-2.39 97.100/-2.39
00006096_b6e075a7dd534de3be9c0300_step_012,file_out_tol,IN_TOLERANCE,True,plane,23.1,0.3,22.5,23.1,23.1,0.0,0.0,0.998,23.100/-0.60 23.100/-0.60
00006096_b6e075a7dd534de3be9c0300_step_012,file_out_tol,OUT_OF_TOLERANCE,False,plane,97.1,1.195,94.71,97.1,28.445168469217453,68.65483153078254,57.45169379003243,0.686,97.100/-2.39 97.100/-2.39
00003686_5818fd8428ed43a399bce519_step_000,file_in_tol,IN_TOLERANCE,True,plane,35.0,0.455,34.09,35.0,34.814260289103146,0.18573971089685415,0.408218247645289,0.981,35.000/-0.91 35.000/-0.91
00003686_5818fd8428ed43a399bce519_step_000,file_out_tol,IN_TOLERANCE,True,plane,35.0,0.455,34.09,35.0,34.91050806347947,0.08949193652053111,0.1966851424953596,0.981,35.000/-0.91 35.000/-0.91
00005108_a4d13a0ea546408bb7e08479_step_001,file_in_tol,IN_TOLERANCE,True,plane,300.0,3.89,292.22,300.0,298.68601222889936,1.313987771100642,0.33778597257446513,0.993,300.000/-7.78 300.000/-7.78
00005108_a4d13a0ea546408bb7e08479_step_001,file_out_tol,IN_TOLERANCE,True,plane,300.0,3.89,292.22,300.0,299.218612583593,0.7813874164069716,0.20087074949517278,0.993,300.000/-7.78 300.000/-7.78
00004382_5ac5fb78fd27409ebf8ee45b_step_000,file_in_tol,OUT_OF_TOLERANCE,False,plane,108.39,1.405,105.58,108.39,104.53528082868633,3.8547191713136755,2.7435704112051704,0.765,108.390/-2.81 108.390/-2.81
00004382_5ac5fb78fd27409ebf8ee45b_step_000,file_in_tol,IN_TOLERANCE,True,plane,37.39,0.46,36.47,37.39,37.39,0.0,0.0,0.993,37.390/-0.92 37.390/-0.92
00004382_5ac5fb78fd27409ebf8ee45b_step_000,file_out_tol,OUT_OF_TOLERANCE,False,plane,108.39,1.405,105.58,108.39,104.38064510405303,4.00935489594697,2.85363134684386,0.764,108.390/-2.81 108.390/-2.81
00004382_5ac5fb78fd27409ebf8ee45b_step_000,file_out_tol,IN_TOLERANCE,True,plane,37.39,0.46,36.47,37.39,37.39,0.0,0.0,0.993,37.390/-0.92 37.390/-0.92
00007563_e7805118907447dca2baeb2e_step_000,file_in_tol,OUT_OF_TOLERANCE,False,plane,16.23,0.21,15.81,16.23,13.767386533758586,2.4626134662414145,11.726674950316497,0.665,16.230/-0.42 16.230/-0.42
00007563_e7805118907447dca2baeb2e_step_000,file_in_tol,OUT_OF_TOLERANCE,False,plane,54.1,0.665,52.77,54.1,55.264,1.1640000000000015,1.7503733077093138,0.762,54.100/-1.33 54.100/-1.33
00007563_e7805118907447dca2baeb2e_step_000,file_out_tol,OUT_OF_TOLERANCE,False,plane,16.23,0.21,15.81,16.23,14.147845224655484,2.0821547753445167,9.914975525566625,0.682,16.230/-0.42 16.230/-0.42
00007563_e7805118907447dca2baeb2e_step_000,file_out_tol,OUT_OF_TOLERANCE,False,plane,54.1,0.665,52.77,54.1,55.092,0.9919999999999973,1.4917270801096498,0.762,54.100/-1.33 54.100/-1.33
00005092_c5feaa3ac05c4f43abf1e725_step_002,file_in_tol,OUT_OF_TOLERANCE,False,plane,18.0,0.235,17.53,18.0,6.772439463376187,11.227560536623812,47.776650042441574,0.756,18.000/-0.47 18.000/-0.47
00005092_c5feaa3ac05c4f43abf1e725_step_002,file_out_tol,OUT_OF_TOLERANCE,False,plane,18.0,0.235,17.53,18.0,6.7728338748972226,11.227166125102777,47.77497170268542,0.746,18.000/-0.47 18.000/-0.47
00005092_c5feaa3ac05c4f43abf1e725_step_002,file_out_tol,OUT_OF_TOLERANCE,False,plane,37.59,0.465,36.660000000000004,37.59,9.029271441861239,28.560728558138763,61.42078954268649,0.601,37.590/-0.93 37.590/-0.93
00004336_ca48f0dc65ad438e95a10c46_step_000,file_in_tol,IN_TOLERANCE,True,plane,85.0,1.1,82.8,85.0,85.0,0.0,0.0,0.983,85.000/-2.20 85.000/-2.20
